name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Jina Reader,,https://jina.ai/reader/,logos/872317808231cbe6611c06afd262d000c612e57202af7d1a9f303bde1da06087.png,,,,,,,Apache License 2.0,,Convert any URL to an LLM-friendly input with a simple prefix https://r.jina.ai/,,,,,,,,,,,,Agentic,Search & Web Access,true,https://github.com/jina-ai/reader,9853,Convert any URL to an LLM-friendly input with a simple prefix https://r.jina.ai/,2025-05-08,https://github.com/jina-ai/reader/commit/5f07900eabe07b1dd0e8d09e6c8ea022e6b2c176,,,2024-04-10,https://github.com/jina-ai/reader/commit/8b9ecf2e6038b8d1314dc157d8971642e3f18500,7,https://github.com/jina-ai/reader/graphs/contributors,,,,,,,,,,,,
Jupyter Enterprise Gateway,,https://jupyter-enterprise-gateway.readthedocs.io/,logos/143d2d8292c165353a8d67643e146c89a73e655c0f29136cac40d89eccd836f7.png,,,,,,,Other,,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across distributed clusters such as Apache Spark, Kubernetes and others.",,,,,,,,,,,,Agentic,Code Sandbox,true,https://github.com/jupyter-server/enterprise_gateway,660,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across distributed clusters such as Apache Spark, Kubernetes and others.",2026-02-12,https://github.com/jupyter-server/enterprise_gateway/commit/d92dc077a8a1e593c3e74a1af598b6ab59825f3a,2024-02-20,https://github.com/jupyter-server/enterprise_gateway/releases/tag/v3.2.3,2015-09-21,https://github.com/jupyter-server/enterprise_gateway/commit/a1e71f510ca49bcbf0f02f7465c0221dce7859cf,124,https://github.com/jupyter-server/enterprise_gateway/graphs/contributors,,,,,,,,,,,,
Keycloak,,https://www.keycloak.org/,logos/e7ec76aed9cec7e65927f9f8cf4e675d49e79154c45c504a5cd6da1fdaecfc2d.svg,,,,,,,Apache License 2.0,,Open Source Identity and Access Management For Modern Applications and Services,,,,,,,,,,,,Agentic,IAM,true,https://github.com/keycloak/keycloak,32972,Open Source Identity and Access Management For Modern Applications and Services,2026-02-23,https://github.com/keycloak/keycloak/commit/2bd386842a21d036d8e66ff04d005db891b249f4,2026-02-20,https://github.com/keycloak/keycloak/releases/tag/26.5.4,2013-07-02,https://github.com/keycloak/keycloak/commit/503cede15eb8a5877a2e91a639286dbfcfb86fbd,1747,https://github.com/keycloak/keycloak/graphs/contributors,,,,,,,,,,,,
kgateway,,https://kgateway.dev/,logos/8b94387f3a6d655eb64607ca29dfc48ef1a8402b2b5ecff26c17cacb74af0478.svg,,,,,,,Apache License 2.0,,The Cloud-Native API Gateway and AI Gateway,,,,,,,,,,,,Agentic,LLM Gateway,true,https://github.com/kgateway-dev/kgateway,5350,The Cloud-Native API Gateway and AI Gateway,2026-02-20,https://github.com/kgateway-dev/kgateway/commit/c96bdc240326ab0c30f111a432e1b22e68e24e8f,2026-02-17,https://github.com/kgateway-dev/kgateway/releases/tag/v2.2.1,2018-12-06,https://github.com/kgateway-dev/kgateway/commit/68f091e58125110221cbfe8a2009a6a4c5f83b23,252,https://github.com/kgateway-dev/kgateway/graphs/contributors,,,,,,,,,,,,
Kong,,https://developer.konghq.com/gateway/install/,logos/0241eb0c20543e07af9e206abdc1ae9478a93e0cd9390689867d7dac7c1ae55f.svg,,,,,,,Apache License 2.0,,🦍 The API and AI Gateway,,,,,,,,,,,,Agentic,LLM Gateway,true,https://github.com/Kong/kong,42813,🦍 The API and AI Gateway,2026-01-19,https://github.com/Kong/kong/commit/2eb75111a611af87e91c6aa4240eddd85fb6d121,2025-06-04,https://github.com/Kong/kong/releases/tag/3.9.1,2014-11-17,https://github.com/Kong/kong/commit/ffd70b3101ba38d9acc776038d124f6e2fccac3c,445,https://github.com/Kong/kong/graphs/contributors,,,,,,,,,,,,
Kubernetes,,https://agentic-community.com,logos/845f6768deec38b1b2e6f03be0f56fd45d046c7af397fd981765a6e75c8be64e.svg,,,,,,,Apache License 2.0,,Production-Grade Container Scheduling and Management,,,,,,,,,,,,Agentic,Runtime,true,https://github.com/kubernetes/kubernetes,120731,Production-Grade Container Scheduling and Management,2026-02-23,https://github.com/kubernetes/kubernetes/commit/60433d43cf0bb83a2ac7d5e767137b3d510026ec,2026-02-10,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.1,2014-06-06,https://github.com/kubernetes/kubernetes/commit/2c4b3a562ce34cddc3f8218a2c4d11c7310e6d56,5606,https://github.com/kubernetes/kubernetes/graphs/contributors,,,,https://k8s.devstats.cncf.io/,,,,,,,,
LanceDB,,https://lancedb.com/,logos/f27399c2c3857a50744ca959cff7455258e114369619a5a978e1d90c796749c3.png,,,,,,,Apache License 2.0,,Developer-friendly OSS embedded retrieval library for multimodal AI. Search More; Manage Less.,,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/lancedb/lancedb,9069,Developer-friendly OSS embedded retrieval library for multimodal AI. Search More; Manage Less.,2026-02-23,https://github.com/lancedb/lancedb/commit/11efaf46ae4becaf74eb349b8847e9c9d14fe749,2026-02-23,https://github.com/lancedb/lancedb/releases/tag/python-v0.30.0-beta.1,2023-03-18,https://github.com/lancedb/lancedb/commit/22ebb9c00cfd72b8116fd87ed7067d41b7605827,176,https://github.com/lancedb/lancedb/graphs/contributors,,,,,,,,,,,,
LangChain,,https://docs.langchain.com/oss/python/langchain/,logos/f3bfa6595d5093b84e4a06c54db12b504479ee3167c45a755e93c7bbd34a4777.svg,,,,,,,MIT License,,🦜🔗 The platform for reliable agents.,,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/langchain-ai/langchain,127224,🦜🔗 The platform for reliable agents.,2026-02-22,https://github.com/langchain-ai/langchain/commit/2d1492a8643ec260e998f64001784249f7da80cf,2026-02-23,https://github.com/langchain-ai/langchain/releases/tag/langchain-core%3D%3D1.2.15,2022-10-24,https://github.com/langchain-ai/langchain/commit/18aeb720126a68201c7e3b5a617139c27c779496,3649,https://github.com/langchain-ai/langchain/graphs/contributors,,,,,,,,,,,,
Langflow,,http://www.langflow.org/,logos/c9d52a35d9e92a3ddb25a437db7fc7ff36daaa9253d7c5b4a9d23c8e0895328b.png,,,,,,,MIT License,,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/langflow-ai/langflow,144987,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,2026-02-23,https://github.com/langflow-ai/langflow/commit/f44e2b31a4eae2b43cf612cec1fdae745af6997f,2026-01-23,https://github.com/langflow-ai/langflow/releases/tag/1.7.3,2023-02-08,https://github.com/langflow-ai/langflow/commit/418010afa1c5e4f41bf172d54f0497e3efbee82e,334,https://github.com/langflow-ai/langflow/graphs/contributors,,,,,,,,,,,,
LangFuse,,https://langfuse.com/,logos/72e8219508d692da8f8673679411a0191eea9a44e9067dacdf0c5bff833374da.svg,,,,,,,Other,,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",,,,,,,,,,,,Agentic,Observability,true,https://github.com/langfuse/langfuse,22183,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",2026-02-23,https://github.com/langfuse/langfuse/commit/347b21e8e3bfffa9c9d39c8fb9e8fdab5ceb4ddc,2026-02-23,https://github.com/langfuse/langfuse/releases/tag/v3.155.1,2023-05-18,https://github.com/langfuse/langfuse/commit/5c8ff5b7646cb15237a5a597a132a51ca3a1a65f,128,https://github.com/langfuse/langfuse/graphs/contributors,,,,,,,,,,,,
LangGraph,,https://docs.langchain.com/oss/python/langgraph/,logos/e54bf09b8b7f7f92910e0adef8a7fb8ab5eb4b3877f636f9f2b88e4da037ddd5.svg,,,,,,,MIT License,,Build resilient language agents as graphs.,,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/langchain-ai/langgraph,24972,Build resilient language agents as graphs.,2026-02-23,https://github.com/langchain-ai/langgraph/commit/ed293f16d66ea6925dba95b4a763e050ac085322,2026-02-19,https://github.com/langchain-ai/langgraph/releases/tag/1.0.9,2023-08-09,https://github.com/langchain-ai/langgraph/commit/d0dbe3994ca77f27d2fca405758ed405923a5584,273,https://github.com/langchain-ai/langgraph/graphs/contributors,,,,,,,,,,,,
LangMem,,https://langchain-ai.github.io/langmem/,logos/e54bf09b8b7f7f92910e0adef8a7fb8ab5eb4b3877f636f9f2b88e4da037ddd5.svg,,,,,,,MIT License,,,,,,,,,,,,,,Agentic,Memory,true,https://github.com/langchain-ai/langmem,1298,,2025-10-27,https://github.com/langchain-ai/langmem/commit/6c1a46c6d3fbcf4358cce611c094cbe502477ef3,,,2025-01-21,https://github.com/langchain-ai/langmem/commit/f60a2168da40a0694ee3a1e388f692cec03fe929,9,https://github.com/langchain-ai/langmem/graphs/contributors,,,,,,,,,,,,
LangSmith,,https://smith.langchain.com/,logos/b8391865ddd5023f559da7331c8cc69d45687fd6c935a322abeb446347a160a5.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Observability,,,,,,,,,,,,,,,,,,,,,,,,
Letta,,https://www.letta.com/,logos/64cb613378d7311b8d66af11679f6c7a4f2d7d00fe85ba54bd75b999252d0c69.svg,,,,,,,Apache License 2.0,,Letta is the platform for building stateful agents: AI with advanced memory that can learn and self-improve over time.,,,,,,,,,,,,Agentic,Memory,true,https://github.com/letta-ai/letta,21223,Letta is the platform for building stateful agents: AI with advanced memory that can learn and self-improve over time.,2026-01-29,https://github.com/letta-ai/letta/commit/65dbd7fd89b965c0fd52295dc1dd9bdd01a93fa9,2026-01-29,https://github.com/letta-ai/letta/releases/tag/0.16.4,2023-10-11,https://github.com/letta-ai/letta/commit/a68048dd003bff6d749410dbd5215b64c6665e49,153,https://github.com/letta-ai/letta/graphs/contributors,,,,,,,,,,,,
LiteLLM,,https://www.litellm.ai/,logos/4b179f68c2501da81a0011af4e99a7c3a624fdeefd2a6359444b2092e54b0814.svg,,,,,,,Other,,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",,,,,,,,,,,,Agentic,LLM Gateway,true,https://github.com/BerriAI/litellm,36651,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",2026-02-23,https://github.com/BerriAI/litellm/commit/4dfec4661b988e4bc491affc2030c626e0a19add,2026-02-23,https://github.com/BerriAI/litellm/releases/tag/litellm_idx-db-dev-v1.81.14,2023-07-27,https://github.com/BerriAI/litellm/commit/918a286e122ffef6dadbd4eafbc9aab765930c8f,1335,https://github.com/BerriAI/litellm/graphs/contributors,,,,,,,,,,,,
LiveKit Agents,,https://docs.livekit.io/agents/,logos/f33cd58ebe387152e1bb0965efe33eb9656d83eb48f1aea80ea39aa05993073d.png,,,,,,,Apache License 2.0,,A framework for building realtime voice AI agents 🤖🎙️📹 ,,,,,,,,,,,,Agentic,Voice Agents,true,https://github.com/livekit/agents,9410,A framework for building realtime voice AI agents 🤖🎙️📹 ,2026-02-23,https://github.com/livekit/agents/commit/a8fce3fb069f9d759302f5874daff88f1e0bc3e7,2026-02-23,https://github.com/livekit/agents/releases/tag/livekit-agents%401.4.3,2023-10-19,https://github.com/livekit/agents/commit/429a166a7bd43c628924112326bbe92f47bc45c2,291,https://github.com/livekit/agents/graphs/contributors,,,,,,,,,,,,
llama.cpp,,https://github.com/ggml-org/llama.cpp,logos/a0fecb69da05dff4c6938fd84d6415e4e4663c28bb26bb4a345293bce1c45e50.svg,,,,,,,MIT License,,LLM inference in C/C++,,,,,,,,,,,,LLMs,Serving,true,https://github.com/ggml-org/llama.cpp,95687,LLM inference in C/C++,2026-02-23,https://github.com/ggml-org/llama.cpp/commit/d8aeb65ceed4e0a6ff8395e719facd5ed706c64d,2026-02-23,https://github.com/ggml-org/llama.cpp/releases/tag/b8133,2023-03-10,https://github.com/ggml-org/llama.cpp/commit/26c084662903ddaca19bef982831bfb0856e8257,1493,https://github.com/ggml-org/llama.cpp/graphs/contributors,,,,,,,,,,,,
LlamaIndex,,https://developers.llamaindex.ai/,logos/80ca01c453477042ca8fd917a69a6638bd8c4188262a49cf21b895b4335ce8a8.svg,,,,,,,MIT License,,LlamaIndex is the leading document agent and OCR platform,,,,,,,,,,,,Agentic,RAG,true,https://github.com/run-llama/llama_index,47127,LlamaIndex is the leading document agent and OCR platform,2026-02-23,https://github.com/run-llama/llama_index/commit/20098487c526a414b67d1ca3d579febf04d2531d,2026-02-18,https://github.com/run-llama/llama_index/releases/tag/v0.14.15,2022-11-02,https://github.com/run-llama/llama_index/commit/4096aef10288fe04badfdbc1fedc43e3135c3363,1873,https://github.com/run-llama/llama_index/graphs/contributors,,,,,,,,,,,,
LLM Guard,,https://protectai.github.io/llm-guard/,logos/506b17ea1018fb42db657c6f15d41307a6f203fb7b34464333b9b22312cd5dff.png,,,,,,,MIT License,,The Security Toolkit for LLM Interactions,,,,,,,,,,,,Agentic,Guardrails,true,https://github.com/protectai/llm-guard,2567,The Security Toolkit for LLM Interactions,2025-09-03,https://github.com/protectai/llm-guard/commit/9e007675b90796fe0382d9c321e275425aa1598d,,,2023-08-08,https://github.com/protectai/llm-guard/commit/5b4f2b86e59eb5aae28e25ba29c64580ceeb6d0e,23,https://github.com/protectai/llm-guard/graphs/contributors,,,,,,,,,,,,
LMQL,,https://lmql.ai/,logos/468bbe45bd0cab567f6bb3a9f45f51e80e0ac16bfe917cf5286e7153f45d551e.png,,,,,,,Apache License 2.0,,A language for constraint-guided and efficient LLM programming.,,,,,,,,,,,,Agentic,Structured Output,true,https://github.com/eth-sri/lmql,4153,A language for constraint-guided and efficient LLM programming.,2025-05-22,https://github.com/eth-sri/lmql/commit/fc8edd4457dc5a5e4e595302166bec797582bf53,2023-10-14,https://github.com/eth-sri/lmql/releases/tag/v0.7.3,2022-11-24,https://github.com/eth-sri/lmql/commit/881a7ee32c77407aae3111ddf749eea22842da85,41,https://github.com/eth-sri/lmql/graphs/contributors,,,,,,,,,,,,
marqo,,https://www.marqo.ai/,logos/a354fdcc170744f4d448c7f136ebe12ae7c69cf17f2486fcc574ea3eab51d1ce.svg,,,,,,,Apache License 2.0,,Ecommerce Search and Discovery - marqo.ai,,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/marqo-ai/marqo,5018,Ecommerce Search and Discovery - marqo.ai,2026-02-20,https://github.com/marqo-ai/marqo/commit/2520e6fd1ef4acc22690de507aea38aa3bd856ee,2026-02-04,https://github.com/marqo-ai/marqo/releases/tag/2.24.13,2022-08-02,https://github.com/marqo-ai/marqo/commit/1352056ee5345db0b0737ea8a2dd9be47f895003,38,https://github.com/marqo-ai/marqo/graphs/contributors,,,,,,,,,,,,
MCP Gateway Registry,,https://agentic-community.github.io/mcp-gateway-registry/,logos/f04e192a23e5d79487b543cba6ccea8e84e27b9ea668a6ac81c57898730ad116.svg,,,,,,,Apache License 2.0,,"Enterprise-ready MCP Gateway & Registry that centralizes AI development tools with secure OAuth authentication, dynamic tool discovery, and unified access for both autonomous AI agents and AI coding assistants. Transform scattered MCP server chaos into governed, auditable tool access with Keycloak/Entra integration.",,,,,,,,,,,,Agentic,Agentic Gateways,true,https://github.com/agentic-community/mcp-gateway-registry,450,"Enterprise-ready MCP Gateway & Registry that centralizes AI development tools with secure OAuth authentication, dynamic tool discovery, and unified access for both autonomous AI agents and AI coding assistants. Transform scattered MCP server chaos into governed, auditable tool access with Keycloak/Entra integration.",2026-02-23,https://github.com/agentic-community/mcp-gateway-registry/commit/cbb285d1097d3b579e53d8684c775bcea3c52ff6,2026-02-10,https://github.com/agentic-community/mcp-gateway-registry/releases/tag/v1.0.13,2025-05-29,https://github.com/agentic-community/mcp-gateway-registry/commit/7d11b5bb03fd4c0488dd0befae46e620faeb3cf8,26,https://github.com/agentic-community/mcp-gateway-registry/graphs/contributors,,,,,,,,,,,,
MCP Registry,,https://github.com/modelcontextprotocol/registry/tree/main/docs,logos/f7090c02fb769fba48b43aa41e4a9607bb84b6d7661a60b3ddba954f129503e4.svg,,,,,,,Other,,A community driven registry service for Model Context Protocol (MCP) servers.,,,,,,,,,,,,Agentic,Agentic Gateways,true,https://github.com/modelcontextprotocol/registry,6460,A community driven registry service for Model Context Protocol (MCP) servers.,2026-02-19,https://github.com/modelcontextprotocol/registry/commit/01e4e2b09eb003366f5a862242eb86b47fe3c8d2,2026-02-10,https://github.com/modelcontextprotocol/registry/releases/tag/v1.4.1,2025-02-05,https://github.com/modelcontextprotocol/registry/commit/2e8c761edfa9297fce2a03c9785fd123437f9740,56,https://github.com/modelcontextprotocol/registry/graphs/contributors,,,,,,,,,,,,
mem0,,https://mem0.ai/,logos/a6295f63b3f900de4edb72888ba050299ceb2bae06a4cbd43763f26421e85034.svg,,,,,,,Apache License 2.0,,Universal memory layer for AI Agents,,,,,,,,,,,,Agentic,Memory,true,https://github.com/mem0ai/mem0,47857,Universal memory layer for AI Agents,2026-02-23,https://github.com/mem0ai/mem0/commit/db15d5c6297ee2afaed2e91d86796a86f383949e,2026-02-17,https://github.com/mem0ai/mem0/releases/tag/v1.0.4,2023-06-20,https://github.com/mem0ai/mem0/commit/2b82ff695fd1596eb1d31bbb5210ef7ee46fca96,253,https://github.com/mem0ai/mem0/graphs/contributors,,,,,,,,,,,,
Milvus,,https://milvus.io/,logos/ca97295ef0aeea8e171ea917c018a140d23eb2ebffeac0c9a7a4f9b696344592.svg,,,,,,,Apache License 2.0,,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/milvus-io/milvus,42942,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",2026-02-23,https://github.com/milvus-io/milvus/commit/49bf0b63b7421d8872e4f56f3df7133f38332668,2026-02-12,https://github.com/milvus-io/milvus/releases/tag/v2.6.11,2019-03-18,https://github.com/milvus-io/milvus/commit/a3050c645d343baa51681503e2fd5f37a8dbb078,350,https://github.com/milvus-io/milvus/graphs/contributors,,,,,,,,,,,,
Model Context Protocol,,https://modelcontextprotocol.io/,logos/f7090c02fb769fba48b43aa41e4a9607bb84b6d7661a60b3ddba954f129503e4.svg,,,,,,,Other,,Specification and documentation for the Model Context Protocol,,,,,,,,,,,,Agentic,Agent Protocols,true,https://github.com/modelcontextprotocol/modelcontextprotocol,7272,Specification and documentation for the Model Context Protocol,2026-02-23,https://github.com/modelcontextprotocol/modelcontextprotocol/commit/ff960c9e8e40ef7598fe330f6ed20631efff3c4f,2025-11-25,https://github.com/modelcontextprotocol/modelcontextprotocol/releases/tag/2025-11-25,2024-09-24,https://github.com/modelcontextprotocol/modelcontextprotocol/commit/d06853c5e8255a57a759817fde7816266023b1a4,326,https://github.com/modelcontextprotocol/modelcontextprotocol/graphs/contributors,,,,,,,,,,,,
NeMo Guardrails,,https://docs.nvidia.com/nemo/guardrails/,logos/327be5a14d4b30db63f3bf74db2314ebdf051acd9163cddf5a2d24db7f5ef112.png,,,,,,,Other,,NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.,,,,,,,,,,,,Agentic,Guardrails,true,https://github.com/NVIDIA-NeMo/Guardrails,5686,NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.,2026-02-23,https://github.com/NVIDIA-NeMo/Guardrails/commit/c9228e9acb0a2b04f52dc6045645203d66fc4033,2026-01-22,https://github.com/NVIDIA-NeMo/Guardrails/releases/tag/v0.20.0,2023-04-25,https://github.com/NVIDIA-NeMo/Guardrails/commit/09cddeff6430a1c1caa110b20ca7a2fd495ff788,111,https://github.com/NVIDIA-NeMo/Guardrails/graphs/contributors,,,,,,,,,,,,
Neo4j,,https://neo4j.com/,logos/c191f9b433f69436c36f612fb1075e7373b8e142942e0fb28f19bff8a916171e.png,,,,,,,GNU General Public License v3.0,,Graphs for Everyone,,,,,,,,,,,,Infrastructure,Knowledge Graphs,true,https://github.com/neo4j/neo4j,15945,Graphs for Everyone,2024-12-03,https://github.com/neo4j/neo4j/commit/c68156edf24164435ab1ac257ec633134c2887f7,2017-04-11,https://github.com/neo4j/neo4j/releases/tag/3.2.0-alpha08,2007-05-24,https://github.com/neo4j/neo4j/commit/6a945ab06a928bbd0f93dc56af279ee35107d7c3,378,https://github.com/neo4j/neo4j/graphs/contributors,,,,,,,,,,,,
Ollama,,https://ollama.com/,logos/c92244a9d23cf481702f6df3131b4e72c4e8d97b2a079e870c465cddd5d22a16.png,,,,,,,MIT License,,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",,,,,,,,,,,,LLMs,Serving,true,https://github.com/ollama/ollama,163205,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",2026-02-20,https://github.com/ollama/ollama/commit/5c73c4e2eedeeb847743f43b4d2e85ff4b02be4b,2026-02-19,https://github.com/ollama/ollama/releases/tag/v0.16.3,2023-06-22,https://github.com/ollama/ollama/commit/8fa91332fa942909fb9206876e41c64599fe33ca,588,https://github.com/ollama/ollama/graphs/contributors,,,,,,,,,,,,
Open Policy Agent,,https://www.openpolicyagent.org/,logos/9700196c4b1942e25b9f2ef2d96d2ebd7ed2d00cbbf97fd944ad61ed3bffdce5.png,,,,,,,Apache License 2.0,,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,,,,,,,,,,,Agentic,IAM,true,https://github.com/open-policy-agent/opa,11248,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",2026-02-23,https://github.com/open-policy-agent/opa/commit/397f9b0245bdfc13bc19e8422fb1d8f211ff8ea0,2026-02-18,https://github.com/open-policy-agent/opa/releases/tag/v1.13.2,2015-12-28,https://github.com/open-policy-agent/opa/commit/7eb56674c51d286afa134861ba282bf7a13668c6,560,https://github.com/open-policy-agent/opa/graphs/contributors,,,,,,,,,,,,
OpenHands,,https://www.openhands.dev/,logos/25d9184dab820bd8ab43ee499b64a33591eb90f2a3feba0cdce23de84d65f94a.png,,,,,,,Other,,🙌 OpenHands: AI-Driven Development,,,,,,,,,,,,Agentic,Coding Agents,true,https://github.com/OpenHands/OpenHands,68106,🙌 OpenHands: AI-Driven Development,2026-02-23,https://github.com/OpenHands/OpenHands/commit/a6c0d80fe1b4cc9598f3b436614f5bc96d6506ec,2026-02-18,https://github.com/OpenHands/OpenHands/releases/tag/1.4.0,2024-03-13,https://github.com/OpenHands/OpenHands/commit/7b63deba2df78a5980766ca3d5d79816f7ceee76,444,https://github.com/OpenHands/OpenHands/graphs/contributors,,,,,,,,,,,,
OpenLLMetry,,https://www.traceloop.com/openllmetry,logos/ed5cb4f2e9590b651b587cc827ad3b9d5f12a2decade5c6b25df549f7ec02867.svg,,,,,,,Apache License 2.0,,"Open-source observability for your GenAI or LLM application, based on OpenTelemetry",,,,,,,,,,,,Agentic,Observability,true,https://github.com/traceloop/openllmetry,6852,"Open-source observability for your GenAI or LLM application, based on OpenTelemetry",2026-02-23,https://github.com/traceloop/openllmetry/commit/c2974c94f593df42353ad48c9170d039ab1a0c3f,2026-02-23,https://github.com/traceloop/openllmetry/releases/tag/0.52.5,2023-09-02,https://github.com/traceloop/openllmetry/commit/f3b33462391420fa06bdcd515169cbce4a52af9b,100,https://github.com/traceloop/openllmetry/graphs/contributors,,,,,,,,,,,,
OpenSearch,,https://opensearch.org/platform/vector-engine/,logos/44e0882ef03a40fefc148bab511a9b6bbc394c1865500206f6532f66bf4f4482.svg,,,,,,,Apache License 2.0,,🔎 Open source distributed and RESTful search engine.,,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/opensearch-project/OpenSearch,12431,🔎 Open source distributed and RESTful search engine.,2026-02-23,https://github.com/opensearch-project/OpenSearch/commit/7dfce8dc70800ef78d7478e6cb5fd8c6de283f09,2026-02-12,https://github.com/opensearch-project/OpenSearch/releases/tag/3.5.0,2010-02-08,https://github.com/opensearch-project/OpenSearch/commit/ec72ca8b7a115f9b2eea3c76c518062b99a1d015,2111,https://github.com/opensearch-project/OpenSearch/graphs/contributors,,,,,,,,,,,,
Outlines,,https://dottxt-ai.github.io/outlines/,logos/8ea0ab169abe442f3503f154b44c96f6e346c096e9e45974f0101e261141cf40.png,,,,,,,Apache License 2.0,,Structured Outputs,,,,,,,,,,,,Agentic,Structured Output,true,https://github.com/dottxt-ai/outlines,13453,Structured Outputs,2026-02-12,https://github.com/dottxt-ai/outlines/commit/d2481885383faa20f78ac266f3c3ac45cf24e59d,2026-02-13,https://github.com/dottxt-ai/outlines/releases/tag/1.2.11,2023-03-17,https://github.com/dottxt-ai/outlines/commit/83d922a70893e00274f560f12eca80e8311c7ccf,149,https://github.com/dottxt-ai/outlines/graphs/contributors,,,,,,,,,,,,
pgvector,,https://github.com/pgvector/pgvector,logos/30641cb9a29982a2d6d0228dffd1b5dcdaa9908aa40e525db19980dbdfa34df7.svg,,,,,,,Other,,Open-source vector similarity search for Postgres,,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/pgvector/pgvector,19934,Open-source vector similarity search for Postgres,2026-01-22,https://github.com/pgvector/pgvector/commit/35ab919bf5da677709b2ebb8be07480bb25e97cf,,,2021-04-20,https://github.com/pgvector/pgvector/commit/6df7fa05b243860ed1a3553730246921dc5cb917,21,https://github.com/pgvector/pgvector/graphs/contributors,,,,,,,,,,,,
Pipecat,,https://www.pipecat.ai/,logos/09d4357bbdc8dd242ce22a39a3d9f7c84d6d38945782c6be05868db639e954c2.png,,,,,,,"BSD 2-Clause ""Simplified"" License",,Open Source framework for voice and multimodal conversational AI,,,,,,,,,,,,Agentic,Voice Agents,true,https://github.com/pipecat-ai/pipecat,10417,Open Source framework for voice and multimodal conversational AI,2026-02-23,https://github.com/pipecat-ai/pipecat/commit/6a7e9358c60b1ebefa023082dc3b3e1db1bae0e2,2026-02-21,https://github.com/pipecat-ai/pipecat/releases/tag/v0.0.103,2023-12-26,https://github.com/pipecat-ai/pipecat/commit/e724720e7626409a6dcc9884e9a798c2ee8d40e4,218,https://github.com/pipecat-ai/pipecat/graphs/contributors,,,,,,,,,,,,
